ID,credit_limit,education,gender,marital_status,avg_bill_amt,avg_util_rate,default_count
47,20000,Graduate School,F,Single,13221.333333,0.6610666667,1
48,150000,Other,F,Single,1639.5,0.01093,0
49,380000,College,M,Single,19135.833333,0.0503574561,0
50,20000,Graduate School,M,Single,19301.666667,0.9650833333,0
51,70000,High School,M,Single,38168.666667,0.5452666667,5
52,100000,High School,F,Other,44197.5,0.441975,0
53,310000,College,F,Married,7354.1666667,0.0237231183,0
54,180000,Graduate School,F,Single,43191.833333,0.2399546296,2
55,150000,Graduate School,F,Single,29458.5,0.19639,1
56,500000,Graduate School,F,Married,1398,0.002796,0
57,180000,High School,F,Married,9234,0.0513,0
58,180000,College,F,Married,158727,0.8818166667,0
59,200000,Graduate School,F,Single,1124.5,0.0056225,5
60,400000,College,F,Married,380690,0.951725,0
61,500000,High School,F,Married,18283.166667,0.0365663333,0
62,70000,College,M,Married,40707,0.5815285714,0
63,50000,Graduate School,M,Single,26279,0.52558,6
64,50000,College,F,Married,9647.3333333,0.1929466667,0
65,130000,College,F,Married,408.66666667,0.0031435897,0
66,200000,Graduate School,M,Married,78272.666667,0.3913633333,2
67,10000,College,M,Married,3808.6666667,0.3808666667,3
68,210000,Graduate School,F,Single,1431.5,0.0068166667,1
69,130000,High School,F,Single,1316.8333333,0.0101294872,2
70,20000,Other,M,Single,14721,0.73605,1
71,80000,Graduate School,M,Single,390,0.004875,0
72,320000,College,M,Single,60358.666667,0.1886208333,6
73,200000,College,F,Married,4404.1666667,0.0220208333,1
74,290000,Graduate School,F,Single,919,0.0031689655,1
75,340000,Graduate School,M,Single,23699.833333,0.0697053922,0
76,20000,College,M,Single,16888,0.8444,1
77,50000,High School,M,Single,24234.333333,0.4846866667,0
78,300000,Graduate School,F,Married,291,0.00097,0
79,30000,College,F,Single,24864.333333,0.8288111111,0
80,240000,College,F,Single,0,0,1
81,470000,High School,F,Other,102470.5,0.2180223404,0
82,360000,Graduate School,F,Single,49150.5,0.1365291667,0
83,60000,High School,M,Single,23927.666667,0.3987944444,0
84,400000,College,F,Married,116825.33333,0.2920633333,1
85,50000,High School,F,Single,29583.166667,0.5916633333,0
86,160000,College,M,Single,111168.83333,0.6948052083,0
87,360000,Graduate School,F,Married,585,0.001625,1
88,160000,College,F,Single,5270.5,0.032940625,0
89,130000,Graduate School,F,Married,37755.666667,0.2904282051,0
90,20000,High School,M,Single,10218.166667,0.5109083333,3
91,200000,Graduate School,M,Married,143694.5,0.7184725,6
92,280000,Graduate School,F,Single,2560,0.0091428571,0
93,100000,Graduate School,F,Single,592.5,0.005925,0
94,160000,College,F,Married,693.66666667,0.0043354167,0
95,60000,College,F,Single,32973.166667,0.5495527778,0
96,90000,College,M,Single,59119.333333,0.6568814815,0
97,360000,Graduate School,M,Married,9743.3333333,0.0270648148,0
98,150000,Graduate School,M,Single,79901.833333,0.5326788889,0
99,50000,High School,F,Married,13965.666667,0.2793133333,0
100,20000,College,M,Married,15536.166667,0.7768083333,0
101,140000,Graduate School,M,Single,2279.8333333,0.0162845238,0
102,380000,Graduate School,F,Single,22100.333333,0.0581587719,0
103,480000,Graduate School,M,Married,460169.16667,0.9586857639,2
104,50000,High School,F,Single,34227.666667,0.6845533333,0
105,60000,College,F,Single,57006.333333,0.9501055556,5
106,70000,College,F,Single,5351.5,0.07645,0
107,80000,College,F,Married,2977.5,0.03721875,0
108,350000,Graduate School,M,Single,1831.1666667,0.0052319048,0
109,130000,College,M,Single,113489.66667,0.8729974359,0
110,360000,College,M,Married,-103,-0.000286111,1
111,330000,Graduate School,F,Married,106596.66667,0.323020202,1
112,50000,High School,M,Married,15523.166667,0.3104633333,1
113,280000,College,M,Married,142501.33333,0.5089333333,6
114,100000,Graduate School,F,Single,55864.333333,0.5586433333,0
115,50000,College,M,Single,19851.666667,0.3970333333,0
116,30000,Graduate School,M,Single,19610,0.6536666667,3
117,240000,Graduate School,M,Single,1242.6666667,0.0051777778,0
118,80000,College,M,Single,16503.666667,0.2062958333,1
119,400000,College,M,Married,11971.333333,0.0299283333,0
120,240000,College,F,Single,34950.5,0.1456270833,0
121,50000,High School,M,Single,48374.166667,0.9674833333,6
122,450000,Graduate School,M,Married,0,0,1
123,110000,Graduate School,F,Married,0,0,1
124,310000,College,F,Married,271089.66667,0.8744827957,1
125,20000,Graduate School,M,Single,18683.333333,0.9341666667,0
126,20000,College,M,Single,0,0,1
127,200000,High School,M,Single,102947.5,0.5147375,0
128,180000,Graduate School,M,Married,111480.33333,0.6193351852,0
129,50000,College,M,Married,5091.3333333,0.1018266667,0
130,60000,High School,M,Married,44020.833333,0.7336805556,3
131,30000,Graduate School,F,Single,5462.6666667,0.1820888889,1
132,240000,Graduate School,M,Single,1879.8333333,0.0078326389,1
133,420000,College,M,Married,224985.16667,0.5356789683,0
134,330000,High School,M,Married,228219.5,0.6915742424,0
135,30000,College,F,Single,20580.333333,0.6860111111,0
136,240000,College,M,Married,12951.333333,0.0539638889,3
137,150000,Graduate School,M,Single,23471.5,0.1564766667,0
138,210000,College,F,Married,7209.3333333,0.0343301587,0
139,50000,High School,F,Married,1155.3333333,0.0231066667,0
140,50000,Graduate School,M,Single,34721.666667,0.6944333333,0
141,240000,Graduate School,M,Single,0,0,1
142,180000,College,M,Single,638,0.0035444444,0
143,50000,College,M,Single,16581.166667,0.3316233333,4
144,170000,College,M,Single,11331.333333,0.066654902,0
145,20000,Graduate School,M,Single,4418.3333333,0.2209166667,0
146,50000,Graduate School,M,Single,8030.6666667,0.1606133333,1
147,170000,College,F,Single,17502,0.1029529412,0
148,200000,Graduate School,M,Single,132378.83333,0.6618941667,2
149,80000,College,F,Married,10325,0.1290625,4
150,260000,Graduate School,F,Married,3506.3333333,0.0134858974,1
151,140000,College,M,Married,68553.833333,0.4896702381,1
152,80000,Graduate School,M,Single,42754.666667,0.5344333333,0
153,350000,Graduate School,M,Single,790.66666667,0.0022590476,1
154,280000,College,F,Married,161936.83333,0.5783458333,0
155,30000,High School,F,Single,11678.666667,0.3892888889,0
156,140000,Graduate School,M,Married,37163.333333,0.265452381,0
157,200000,Graduate School,F,Single,95901.166667,0.4795058333,0
158,200000,High School,F,Single,169693.33333,0.8484666667,0
159,210000,High School,M,Married,134241.83333,0.6392468254,6
160,50000,High School,M,Married,13314,0.26628,2
161,30000,Graduate School,M,Single,27099.333333,0.9033111111,5
162,50000,College,M,Single,566,0.01132,2
163,290000,High School,M,Married,606.16666667,0.0020902299,0
164,250000,Graduate School,F,Married,153157,0.612628,1
165,60000,College,F,Married,25050.666667,0.4175111111,0
166,110000,Graduate School,F,Single,89889.833333,0.817180303,0
167,370000,Graduate School,M,Single,10511.666667,0.0284099099,0
168,100000,College,M,Married,51681.5,0.516815,2
169,90000,College,F,Married,78825.166667,0.8758351852,1
170,50000,College,F,Single,28559.833333,0.5711966667,0
171,270000,College,M,Single,30034.833333,0.1112401235,0
172,300000,Graduate School,F,Single,1963.3333333,0.0065444444,0
173,50000,College,F,Single,8964.5,0.17929,0
174,50000,Graduate School,F,Single,-1928.166667,-0.038563333,1
175,360000,Graduate School,M,Single,12.833333333,0.0000356481,1
176,130000,High School,M,Married,68429.166667,0.5263782051,6
177,80000,Graduate School,M,Single,2604,0.03255,0
178,50000,College,M,Single,36747.166667,0.7349433333,3
179,20000,College,F,Single,13985.666667,0.6992833333,0
180,80000,College,F,Married,53926.5,0.67408125,1
181,240000,Graduate School,M,Single,19710.166667,0.0821256944,1
182,80000,High School,F,Single,21581.166667,0.2697645833,0
183,500000,Graduate School,F,Married,96540.5,0.193081,0
184,60000,College,F,Married,37073.833333,0.6178972222,0
185,20000,College,M,Single,8484,0.4242,0
186,100000,College,F,Married,15391.833333,0.1539183333,3
187,360000,Graduate School,F,Single,27257.666667,0.0757157407,1
188,200000,High School,F,Single,197097,0.985485,6
189,130000,College,F,Married,9623.6666667,0.0740282051,1
190,20000,College,F,Single,20965.333333,1.0482666667,6
191,310000,Graduate School,M,Single,58956.666667,0.1901827957,0
192,60000,Graduate School,F,Single,21669.666667,0.3611611111,2
193,180000,Graduate School,F,Single,7642.3333333,0.0424574074,0
194,180000,Graduate School,F,Single,11373.166667,0.0631842593,1
195,50000,College,M,Married,14145,0.2829,0
196,50000,Graduate School,F,Single,38126.5,0.76253,6
197,150000,College,F,Married,269.33333333,0.0017955556,0
198,20000,Graduate School,F,Single,17251.833333,0.8625916667,0
199,500000,Graduate School,F,Married,1076.1666667,0.0021523333,0
200,30000,High School,F,Single,19642.333333,0.6547444444,3
201,180000,Graduate School,F,Married,125,0.0006944444,0
202,140000,Graduate School,M,Single,21812,0.1558,2
203,140000,Graduate School,F,Single,10706,0.0764714286,0
204,120000,College,M,Single,114815.66667,0.9567972222,0
205,360000,College,F,Married,200463.16667,0.5568421296,0
206,20000,High School,M,Married,16490.166667,0.8245083333,0
207,100000,Graduate School,M,Married,505.5,0.005055,0
208,210000,College,F,Married,1609.5,0.0076642857,0
209,80000,College,F,Single,65234.5,0.81543125,0
210,330000,Graduate School,F,Married,3243.6666667,0.0098292929,0
211,220000,Graduate School,M,Single,69996.5,0.3181659091,0
212,210000,Graduate School,F,Married,397.33333333,0.0018920635,1
213,40000,High School,F,Married,35990.833333,0.8997708333,0
214,30000,College,M,Single,17267.166667,0.5755722222,1
215,470000,College,M,Single,333803,0.7102191489,4
216,30000,High School,M,Married,585,0.0195,1
217,240000,College,F,Married,-946,-0.003941667,1
218,80000,College,M,Single,78468.166667,0.9808520833,1
219,110000,High School,F,Other,75641.166667,0.6876469697,0
220,310000,Graduate School,F,Single,1015.3333333,0.0032752688,0
221,360000,Graduate School,F,Married,114260.83333,0.3173912037,3
222,330000,High School,F,Single,334236.33333,1.0128373737,0
223,300000,College,F,Single,238552.5,0.795175,0
224,320000,College,F,Single,72878,0.22774375,0
225,50000,High School,F,Single,40661.333333,0.8132266667,3
226,170000,Graduate School,F,Single,128683.66667,0.7569627451,0
227,350000,High School,M,Married,1397.3333333,0.003992381,0
228,20000,College,M,Married,18076.833333,0.9038416667,0
229,50000,College,M,Single,33750.166667,0.6750033333,1
230,20000,High School,F,Single,10652,0.5326,2
231,50000,Graduate School,F,Single,22155,0.4431,0
232,20000,College,M,Single,15776,0.7888,3
233,50000,College,M,Married,32924.666667,0.6584933333,0
234,190000,College,M,Single,138009.66667,0.7263666667,3
235,60000,College,F,Married,29299,0.4883166667,0
236,80000,Graduate School,M,Single,6975.3333333,0.0871916667,0
237,150000,College,F,Single,66630,0.4442,0
238,210000,Graduate School,F,Single,3021.6666667,0.0143888889,0
239,240000,High School,F,Married,218871.16667,0.9119631944,0
240,140000,College,F,Other,19309,0.1379214286,0
241,60000,Graduate School,F,Single,7406,0.1234333333,3
242,50000,Graduate School,M,Single,40207.333333,0.8041466667,0
243,50000,College,F,Single,28205.666667,0.5641133333,0
244,180000,Graduate School,F,Single,2439,0.01355,2
245,30000,Graduate School,F,Single,102.16666667,0.0034055556,4
246,20000,College,F,Single,13314.833333,0.6657416667,0
247,250000,College,F,Married,10569.5,0.042278,0
248,100000,College,F,Single,32749.666667,0.3274966667,0
249,330000,Graduate School,M,Single,42667.5,0.1292954545,1
250,50000,High School,M,Married,19645.166667,0.3929033333,0
251,50000,College,F,Single,40143.666667,0.8028733333,3
252,30000,College,M,Single,22526.666667,0.7508888889,0
253,140000,College,F,Single,105239.83333,0.7517130952,0
254,160000,Graduate School,F,Single,56231.833333,0.3514489583,0
255,400000,College,F,Single,5671.6666667,0.0141791667,0
256,50000,College,M,Married,28925.333333,0.5785066667,0
257,140000,College,F,Married,4515.8333333,0.0322559524,0
258,160000,College,F,Married,13701.166667,0.0856322917,0
259,100000,High School,F,Married,10361.666667,0.1036166667,0
260,220000,Graduate School,M,Married,188240,0.8556363636,1
261,510000,Graduate School,F,Single,85535.166667,0.1677160131,0
262,50000,College,M,Single,33700.166667,0.6740033333,0
263,160000,Graduate School,F,Married,10546.166667,0.0659135417,1
264,230000,Graduate School,F,Single,8955.8333333,0.0389384058,0
265,80000,Graduate School,F,Single,5842.3333333,0.0730291667,0
266,150000,College,F,Married,1184,0.0078933333,0
267,10000,High School,M,Single,8689.3333333,0.8689333333,1
268,130000,High School,F,Single,59630.166667,0.4586935897,0
269,40000,Graduate School,F,Single,34662.5,0.8665625,0
270,50000,College,M,Single,12286.166667,0.2457233333,3
271,100000,High School,M,Single,30034.833333,0.3003483333,0
272,120000,Graduate School,M,Married,735.66666667,0.0061305556,1
273,260000,Graduate School,F,Single,0,0,1
274,200000,College,F,Single,13478.5,0.0673925,0
275,360000,College,F,Single,0,0,0
276,70000,College,F,Single,44292.166667,0.6327452381,0
277,460000,Graduate School,M,Married,4673.1666667,0.010159058,1
278,50000,Graduate School,F,Single,456,0.00912,0
279,50000,High School,M,Married,35298.5,0.70597,0
280,250000,College,F,Married,100668.5,0.402674,0
281,30000,Graduate School,F,Single,1074.6666667,0.0358222222,0
282,270000,College,M,Married,81099,0.3003666667,0
283,180000,High School,F,Single,126701.83333,0.7038990741,0
284,100000,Graduate School,F,Single,53863.666667,0.5386366667,0
285,230000,High School,F,Married,111252.83333,0.483707971,0
286,210000,Graduate School,F,Married,35173.166667,0.1674912698,0
287,210000,Graduate School,M,Single,59828.333333,0.2848968254,1
288,440000,College,F,Married,138029.83333,0.3137041667,0
289,100000,College,F,Single,67273,0.67273,1
290,240000,College,F,Married,9349.5,0.03895625,0
291,280000,Graduate School,M,Single,-56043.16667,-0.200154167,0
292,50000,College,F,Single,0,0,1
293,30000,College,M,Married,2162,0.0720666667,6
294,10000,College,M,Single,9474.6666667,0.9474666667,1
295,130000,Graduate School,M,Single,0,0,1
296,200000,Graduate School,M,Single,163159.66667,0.8157983333,0
297,120000,College,F,Married,1294.1666667,0.0107847222,0
298,210000,College,F,Married,143074.66667,0.6813079365,0
299,280000,Graduate School,F,Married,45606.666667,0.1628809524,0
300,300000,Graduate School,M,Single,7566.6666667,0.0252222222,1
301,100000,College,M,Single,77141.833333,0.7714183333,0
302,440000,Graduate School,F,Single,0,0,0
303,50000,High School,F,Married,25716.833333,0.5143366667,0
304,20000,Graduate School,F,Single,16407.833333,0.8203916667,1
305,200000,Graduate School,F,Single,3039.3333333,0.0151966667,0
306,110000,College,F,Single,2143.3333333,0.0194848485,0
307,500000,College,F,Married,7921.5,0.015843,0
308,300000,College,F,Married,869.16666667,0.0028972222,1
309,30000,High School,M,Married,12143.833333,0.4047944444,6
310,60000,Graduate School,F,Single,10985.333333,0.1830888889,0
311,400000,College,F,Married,3525.5,0.00881375,0
312,180000,College,F,Married,137944.33333,0.7663574074,0
313,20000,Graduate School,M,Single,13174.5,0.658725,1
314,200000,High School,F,Married,55507.833333,0.2775391667,3
315,100000,Graduate School,M,Single,32417.166667,0.3241716667,0
316,60000,College,M,Single,28588.666667,0.4764777778,0
317,110000,College,F,Single,50636.166667,0.4603287879,0
318,260000,High School,F,Married,337.5,0.0012980769,1
319,50000,High School,F,Married,35586,0.71172,3
320,180000,College,M,Single,-2,-0.000011111,1
321,110000,College,M,Single,51891,0.4717363636,3
322,340000,Graduate School,F,Single,153856.16667,0.4525181373,0
323,50000,College,M,Single,5275,0.1055,0
324,230000,College,F,Married,9221.1666667,0.040092029,0
325,360000,College,F,Single,95901.5,0.2663930556,0
326,210000,College,M,Single,26783.166667,0.1275388889,1
327,220000,College,F,Married,562.5,0.0025568182,3
328,60000,College,F,Married,28347,0.47245,5
329,340000,College,M,Married,22927.666667,0.0674343137,0
330,150000,Graduate School,M,Married,104009.16667,0.6933944444,6
331,200000,College,F,Married,7898.3333333,0.0394916667,2
332,130000,College,F,Single,11085.666667,0.085274359,1
333,60000,Graduate School,F,Single,16044.333333,0.2674055556,2
334,400000,College,F,Married,13331.333333,0.0333283333,1
335,20000,Graduate School,M,Single,19457.833333,0.9728916667,0
336,190000,Graduate School,F,Single,152145.83333,0.8007675439,0
337,260000,Graduate School,F,Single,158850,0.6109615385,0
338,140000,College,F,Single,65,0.0004642857,0
339,50000,College,F,Married,39013.333333,0.7802666667,0
340,120000,Graduate School,F,Single,2831,0.0235916667,0
341,240000,College,F,Single,61.333333333,0.0002555556,0
342,50000,College,M,Single,3141.1666667,0.0628233333,0
343,200000,Graduate School,F,Single,12778.166667,0.0638908333,2
344,180000,Graduate School,M,Married,153467,0.8525944444,0
345,180000,Graduate School,F,Single,122474.5,0.6804138889,0
346,160000,Graduate School,F,Single,1638.6666667,0.0102416667,0
347,100000,College,F,Single,3203.8333333,0.0320383333,0
348,50000,College,F,Single,45576.5,0.91153,0
349,140000,College,F,Single,139987.33333,0.9999095238,0
350,30000,College,F,Single,19648.333333,0.6549444444,0
351,90000,Graduate School,M,Single,14430.333333,0.160337037,0
352,200000,Graduate School,M,Married,-4465.833333,-0.022329167,1
353,380000,Graduate School,M,Single,0,0,1
354,80000,College,F,Single,50525.333333,0.6315666667,0
355,50000,High School,M,Married,18202.666667,0.3640533333,4
356,180000,College,M,Married,29546.333333,0.1641462963,0
357,240000,College,F,Single,120823.33333,0.5034305556,0
358,380000,College,M,Single,180426.83333,0.4748074561,0
359,110000,Other,F,Single,81276,0.7388727273,0
360,260000,Graduate School,M,Married,22947.833333,0.0882608974,0
361,500000,College,F,Single,487775.5,0.975551,3
362,320000,College,F,Single,72719.666667,0.2272489583,0
363,50000,College,M,Single,41476.5,0.82953,3
364,110000,Graduate School,M,Married,749.66666667,0.0068151515,1
365,230000,Graduate School,F,Single,552.33333333,0.0024014493,0
366,330000,College,F,Married,2606.6666667,0.0078989899,1
367,50000,College,F,Married,36383.666667,0.7276733333,0
368,10000,College,M,Single,2458.6666667,0.2458666667,3
369,300000,Graduate School,M,Married,0,0,1
370,20000,College,F,Married,15555.166667,0.7777583333,2
371,180000,College,M,Married,13923,0.07735,2
372,160000,Graduate School,M,Single,10246.666667,0.0640416667,0
373,90000,Graduate School,F,Single,42296,0.4699555556,3
374,30000,High School,M,Other,23523.333333,0.7841111111,0
375,180000,Graduate School,M,Married,139364.33333,0.7742462963,0
376,30000,High School,M,Married,21045.333333,0.7015111111,0
377,30000,College,M,Married,22043,0.7347666667,3
378,140000,Graduate School,F,Single,7504,0.0536,0
379,210000,Graduate School,M,Single,54577.5,0.2598928571,0
380,50000,College,M,Single,13991.833333,0.2798366667,0
381,130000,College,F,Single,78729.833333,0.6056141026,0
382,50000,College,F,Married,2732.8333333,0.0546566667,3
383,140000,High School,M,Married,89732.166667,0.6409440476,0
384,170000,College,F,Single,4895.3333333,0.0287960784,1
385,80000,College,M,Single,17875.166667,0.2234395833,0
386,410000,Other,F,Married,290242.33333,0.7079081301,0
387,80000,Graduate School,F,Single,13333.333333,0.1666666667,1
388,80000,High School,M,Married,69364,0.86705,3
389,150000,College,M,Married,157349.83333,1.0489988889,0
390,260000,Graduate School,M,Married,431,0.0016576923,0
391,350000,Graduate School,M,Married,0,0,1
392,280000,College,F,Married,29159,0.1041392857,1
393,310000,College,M,Married,83905.666667,0.2706634409,0
394,140000,College,F,Single,19728.166667,0.1409154762,0
395,360000,Graduate School,M,Married,10500,0.0291666667,0
396,140000,Graduate School,F,Single,143057.5,1.0218392857,0
397,100000,Graduate School,M,Single,40130.5,0.401305,0
398,50000,College,F,Single,246.66666667,0.0049333333,0
399,210000,College,F,Married,94543.166667,0.4502055556,0
400,120000,College,F,Single,117299.66667,0.9774972222,6
401,240000,Graduate School,M,Single,111151.16667,0.4631298611,0
402,60000,High School,F,Other,30834.5,0.5139083333,0
403,150000,Graduate School,M,Single,1183,0.0078866667,1
404,30000,College,M,Married,26923.833333,0.8974611111,0
405,160000,Graduate School,F,Single,162469.16667,1.0154322917,6
406,200000,Graduate School,M,Married,15351.333333,0.0767566667,0
407,120000,College,F,Married,7978.1666667,0.0664847222,0
408,500000,Graduate School,M,Married,411076.33333,0.8221526667,2
409,320000,Graduate School,F,Single,60852.5,0.1901640625,0
410,280000,Graduate School,M,Single,173955.33333,0.6212690476,0
411,60000,Graduate School,F,Single,30938.166667,0.5156361111,6
412,200000,Graduate School,F,Married,42.833333333,0.0002141667,0
413,230000,Graduate School,F,Married,1933.3333333,0.0084057971,1
414,230000,College,F,Single,10722,0.0466173913,2
415,480000,High School,F,Married,48748.166667,0.1015586806,0
416,50000,High School,F,Married,4583.3333333,0.0916666667,0
417,200000,Graduate School,F,Single,3881,0.019405,0
418,50000,Graduate School,F,Single,17449,0.34898,1
419,50000,College,M,Married,30069.5,0.60139,0
420,260000,Graduate School,F,Single,0,0,1
421,30000,Graduate School,M,Single,27776.833333,0.9258944444,2
422,440000,Graduate School,F,Single,160376,0.3644909091,0
423,230000,College,F,Single,2955.5,0.01285,0
424,200000,College,M,Married,102325.5,0.5116275,3
425,490000,College,F,Married,197503.5,0.4030683673,0
426,80000,College,F,Married,1877,0.0234625,0
427,20000,High School,F,Single,13173.833333,0.6586916667,4
428,170000,Graduate School,F,Single,232.16666667,0.0013656863,0
429,70000,Graduate School,M,Single,48900.166667,0.6985738095,0
430,210000,College,F,Single,127105.5,0.6052642857,0
431,90000,College,F,Single,77501.5,0.8611277778,0
432,390000,Graduate School,F,Single,295478.5,0.7576371795,0
433,110000,Graduate School,F,Single,50715.333333,0.4610484848,0
434,580000,Graduate School,F,Married,165693.33333,0.2856781609,0
435,360000,High School,M,Married,6116,0.0169888889,0
436,270000,College,F,Married,226636.83333,0.839395679,6
437,60000,Graduate School,F,Single,2445.3333333,0.0407555556,1
438,110000,High School,M,Married,61248.333333,0.5568030303,0
439,50000,Graduate School,F,Married,39198.666667,0.7839733333,0
440,80000,Graduate School,F,Single,56516.333333,0.7064541667,0
441,50000,College,M,Single,4670.6666667,0.0934133333,0
442,100000,Graduate School,M,Single,88510,0.8851,2
443,30000,Graduate School,F,Single,689.5,0.0229833333,1
444,200000,Graduate School,F,Single,121803,0.609015,0
445,240000,Graduate School,M,Single,217674.16667,0.9069756944,0
446,220000,College,M,Single,26778,0.1217181818,0
447,160000,Graduate School,F,Single,100194.16667,0.6262135417,0
448,180000,Graduate School,F,Married,13957.833333,0.0775435185,0
449,200000,Other,M,Married,28391.166667,0.1419558333,0
450,140000,High School,F,Married,76877.666667,0.5491261905,1
451,380000,Graduate School,M,Married,0,0,1
452,600000,Graduate School,M,Married,453090.33333,0.7551505556,2
453,260000,College,M,Single,155988.16667,0.5999544872,0
454,200000,Graduate School,F,Single,27027.5,0.1351375,0
455,80000,College,M,Single,55264.333333,0.6908041667,0
456,40000,College,M,Single,20826.666667,0.5206666667,0
457,130000,High School,M,Single,73326.333333,0.5640487179,6
458,50000,Graduate School,M,Single,16534.333333,0.3306866667,0
459,230000,College,F,Married,8122,0.0353130435,0
460,70000,College,M,Married,26097.833333,0.3728261905,0
461,180000,College,F,Married,139749.33333,0.7763851852,0
462,80000,College,F,Married,4689.5,0.05861875,0
463,290000,College,F,Single,41433.833333,0.1428752874,0
464,230000,Graduate School,F,Single,94149.5,0.4093456522,0
465,170000,High School,F,Other,356.83333333,0.0020990196,1
466,230000,Graduate School,M,Married,201767.33333,0.8772492754,0
467,220000,Graduate School,M,Single,198030.16667,0.9001371212,0
468,230000,College,M,Single,23809.5,0.1035195652,0
469,500000,College,M,Married,50146.833333,0.1002936667,0
470,90000,Graduate School,F,Married,3245.1666667,0.0360574074,0
471,390000,High School,F,Single,310738.33333,0.7967649573,0
472,400000,College,F,Single,269690.16667,0.6742254167,0
473,180000,College,M,Married,1927.1666667,0.0107064815,0
474,60000,High School,M,Married,32007,0.53345,4
475,120000,College,F,Married,3201.6666667,0.0266805556,0
476,60000,College,F,Single,27943,0.4657166667,0
477,50000,Graduate School,M,Single,32653,0.65306,0
478,70000,College,F,Married,63433,0.9061857143,1
479,500000,Graduate School,F,Married,458.5,0.000917,1
480,200000,Graduate School,M,Single,0,0,0
481,250000,College,F,Married,45803.333333,0.1832133333,1
482,140000,College,M,Single,138747.83333,0.9910559524,4
483,70000,College,F,Single,28287.333333,0.4041047619,1
484,90000,High School,M,Married,68645,0.7627222222,6
485,100000,College,F,Married,1699.6666667,0.0169966667,0
486,190000,College,M,Married,149033.16667,0.7843850877,0
487,230000,Graduate School,F,Married,8772.1666667,0.0381398551,0
488,320000,College,M,Married,92703.833333,0.2896994792,0
489,220000,College,F,Married,670.66666667,0.0030484848,0
490,260000,Graduate School,F,Married,6331.6666667,0.0243525641,0
491,90000,College,F,Single,95.5,0.0010611111,0
492,30000,College,F,Married,24034.5,0.80115,5
493,260000,College,M,Single,111340,0.4282307692,1
494,170000,College,F,Single,7704.6666667,0.0453215686,0
495,80000,Graduate School,F,Married,9829.3333333,0.1228666667,0
496,50000,Graduate School,M,Married,389.33333333,0.0077866667,0
497,200000,High School,F,Single,199441.66667,0.9972083333,0
498,20000,College,M,Single,20648.666667,1.0324333333,1
499,250000,Graduate School,F,Married,303.16666667,0.0012126667,0
500,20000,Graduate School,M,Married,19107,0.95535,2
501,30000,College,F,Married,23075.166667,0.7691722222,2
502,90000,College,F,Married,27123.333333,0.3013703704,6
503,230000,Other,F,Single,208195.16667,0.9051963768,0
504,130000,Graduate School,F,Married,17836.166667,0.1372012821,0
505,30000,Other,M,Married,0,0,0
